username,password,user_id,ip,user_agent,device_type,login_timestamp,login_success,is_attack_ip
ali,PgrK56qOdr,-4324475583306591935,10.238.248.116,,mobile,2020-02-03 12:43:30.772,False,False
bob,CtAVSWAExo,-4324475583306591935,10.20.25.11,,mobile,2020-02-03 12:43:43.549,False,False
charlie,6k62i7715c,-3284137479262433373,10.211.211.15,,mobile,2020-02-03 12:43:55.873,True,False
diana,uIOfXgTRfL,-4324475583306591935,10.229.111.4,,mobile,2020-02-03 12:43:56.180,False,False
ethan,1CThEy5quW,-4618854071942621186,10.244.13.182,,mobile,2020-02-03 12:43:59.396,False,True
fiona,LIaiNASikw,-4324475583306591935,10.33.232.17,,mobile,2020-02-03 12:44:05.160,False,True
george,2BtesZFJBH,7246533443898239661,10.236.251.49,,desktop,2020-02-03 12:44:07.893,True,False
hannah,kjq8yZdZF2,-3243978724802435038,10.239.129.34,,mobile,2020-02-03 12:44:12.799,False,False
ian,f1t2OMOSWm,8076000552587369902,10.198.192.187,,mobile,2020-02-03 12:44:17.474,False,False
julia,sOaO1ROJFM,-3065936140549856249,10.134.233.65,,desktop,2020-02-03 12:44:19.071,True,False
kevin,d2s7M4HXbf,5932501938287412564,10.114.249.48,,desktop,2020-02-03 12:44:19.260,True,False
laura,pa037PKtAL,-9080829243863829585,10.24.187.36,,desktop,2020-02-03 12:44:24.849,True,False
michael,jztmXi8nKk,5729679535281970107,10.221.212.88,,mobile,2020-02-03 12:44:25.789,False,False
nina,lMwklRPmw2,-4324475583306591935,10.50.191.182,,desktop,2020-02-03 12:44:26.828,False,False
oliver,kKbfMcDGB4,-4324475583306591935,10.48.73.41,,mobile,2020-02-03 12:44:29.221,False,False
paula,7vbl67OPLZ,-8296667206273764769,10.77.3.78,,mobile,2020-02-03 12:44:30.475,True,False
quentin,1OKIcO1WcC,-4663943525943860871,10.75.178.203,,desktop,2020-02-03 12:44:31.854,True,False
rachel,da3VKGFFfj,-4324475583306591935,10.33.21.43,,mobile,2020-02-03 12:44:33.042,False,False
simon,Gw9to6KYIh,-4324475583306591935,10.212.241.45,,desktop,2020-02-03 12:44:33.093,False,False
tina,tdin2L30hi,1211299018980019605,10.104.63.251,,desktop,2020-02-03 12:44:33.239,True,False
uma,5i8LPPqNVR,6386637550223767974,10.175.4.232,,mobile,2020-02-03 12:44:36.492,True,False
victor,NcKOfO0Igr,-6824206179319715465,10.18.8.42,,desktop,2020-02-03 12:44:39.645,True,False
wendy,PL6RK9XIoF,9133470655600090013,10.26.2.101,,mobile,2020-02-03 12:44:40.204,False,True
xavier,KscQ2sHCj5,-4324475583306591935,10.207.137.42,,mobile,2020-02-03 12:44:40.351,False,False
yvonne,yvmmpA07zb,-4324475583306591935,10.62.201.120,,mobile,2020-02-03 12:44:40.487,False,False
